HEFT ou TOPO, Nombre de taches, Probabilité de dépendances, Nombres de Machines, Cmax
0    ou    1, 1      à     151,             0.5           ,         4          , moy sur 20 instances
0, 1, 0.5, 4,4.095238095238095
0, 6, 0.5, 4,21.047619047619047
0, 11, 0.5, 4,41.857142857142854
0, 16, 0.5, 4,57.19047619047619
0, 21, 0.5, 4,68.42857142857143
0, 26, 0.5, 4,90.04761904761905
0, 31, 0.5, 4,107.47619047619048
0, 36, 0.5, 4,131.85714285714286
0, 41, 0.5, 4,141.95238095238096
0, 46, 0.5, 4,157.14285714285714
0, 51, 0.5, 4,173.8095238095238
0, 56, 0.5, 4,198.85714285714286
0, 61, 0.5, 4,206.85714285714286
0, 66, 0.5, 4,227.8095238095238
0, 71, 0.5, 4,238.47619047619048
0, 76, 0.5, 4,262.6666666666667
0, 81, 0.5, 4,273.57142857142856
0, 86, 0.5, 4,284.57142857142856
0, 91, 0.5, 4,321.6190476190476
0, 96, 0.5, 4,324.95238095238096
0, 101, 0.5, 4,340.6190476190476
0, 106, 0.5, 4,355.0952380952381
0, 111, 0.5, 4,375.5238095238095
0, 116, 0.5, 4,394.0952380952381
0, 121, 0.5, 4,417.8095238095238
0, 126, 0.5, 4,432.4761904761905
0, 131, 0.5, 4,459.42857142857144
0, 136, 0.5, 4,463.9047619047619
0, 141, 0.5, 4,488.23809523809524
0, 146, 0.5, 4,494.76190476190476
1, 1, 0.5, 4,4.9523809523809526
1, 6, 0.5, 4,22.428571428571427
1, 11, 0.5, 4,37.95238095238095
1, 16, 0.5, 4,60.76190476190476
1, 21, 0.5, 4,73.57142857142857
1, 26, 0.5, 4,85.66666666666667
1, 31, 0.5, 4,107.14285714285714
1, 36, 0.5, 4,124.9047619047619
1, 41, 0.5, 4,143.0
1, 46, 0.5, 4,157.76190476190476
1, 51, 0.5, 4,174.28571428571428
1, 56, 0.5, 4,187.38095238095238
1, 61, 0.5, 4,211.9047619047619
1, 66, 0.5, 4,227.9047619047619
1, 71, 0.5, 4,242.85714285714286
1, 76, 0.5, 4,266.7142857142857
1, 81, 0.5, 4,294.0
1, 86, 0.5, 4,291.3333333333333
1, 91, 0.5, 4,305.3809523809524
1, 96, 0.5, 4,329.0952380952381
1, 101, 0.5, 4,350.1904761904762
1, 106, 0.5, 4,362.0
1, 111, 0.5, 4,384.5238095238095
1, 116, 0.5, 4,390.95238095238096
1, 121, 0.5, 4,411.0
1, 126, 0.5, 4,440.04761904761904
1, 131, 0.5, 4,449.7142857142857
1, 136, 0.5, 4,468.14285714285717
1, 141, 0.5, 4,484.95238095238096
1, 146, 0.5, 4,500.5238095238095
